Hallmark_Name	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9
HALLMARK_ALLOGRAFT_REJECTION	0.3916590857051913	0.3410454204331737	0.34350502424053075	0.34264998149489545	0.22706975823533032	0.21562147500824963	0.21213774174683778	0.3577679482881863	0.3558935155506277	0.3502262540495223	0.1931125007283408	0.39640136202040765	0.1986513825446907	0.19625218638088351	0.31608024557391706	0.3086859439785691	0.3200406611044596	0.3841656349486726	0.3921433087236786	0.38339415545889083	0.3946057662848092	0.34298164859499874	0.3358225844301432	0.34563465268213955
HALLMARK_ANDROGEN_RESPONSE	0.21269020699085214	0.2606207671855626	0.2651034352116758	0.25210827128814195	0.14049224304459818	0.1380164130031831	0.1437167302778329	0.15685652155143928	0.16174913806399047	0.15422977807213759	0.19073835399201472	0.22433938352041732	0.19709911686228762	0.20142100550030523	0.21974586456881248	0.2109587624387992	0.21304355165525501	0.22567328728244995	0.2275821144533486	0.2220582851428966	0.20556378943046066	0.2557935693225473	0.2597404679140903	0.25241682849847225
HALLMARK_ANGIOGENESIS	0.5401511020055556	0.5555009080126349	0.5553242591312898	0.5513883153709195	0.3936918157134816	0.3937829981441004	0.3908945013731819	0.4689262072446238	0.46911129150217634	0.4561584803358094	0.42709256428365844	0.5529920223517372	0.4318454173264384	0.4278211007813841	0.49866499587460017	0.48607374851124396	0.4887586132581641	0.5462838721338087	0.5600273084898099	0.5499250620701951	0.5380195410369142	0.5525817951313909	0.5600980341297531	0.5614092673272078
HALLMARK_APOPTOSIS	0.33631310727817176	0.3105549560985189	0.3132597057460067	0.30795102988816503	0.2413618774867667	0.23488178379179186	0.2292333872108757	0.27561900710555864	0.26765148819486323	0.26196945101329416	0.23675732449221032	0.3413681732350037	0.240849382705797	0.23331448718479472	0.2644976249242898	0.25469769803347925	0.2624752750204995	0.3364862671227499	0.34698885153586007	0.33397967209013646	0.3330945301542708	0.30346224352135465	0.31100427482031645	0.31925503859993376
HALLMARK_BILE_ACID_METABOLISM	-0.10685292592479152	-0.08039819097738755	-0.07919593418539655	-0.08518249222348252	-0.1336988475868172	-0.13890731785577598	-0.13421032001756442	-0.16951653452750043	-0.1644377467737129	-0.17322250648446322	-0.11550940441259923	-0.08454523660547972	-0.12361650629591178	-0.11186104087160964	-0.13777841985695768	-0.14822799726031302	-0.15041196957417727	-0.09449800027687466	-0.08214300276307497	-0.09414605730391849	-0.10699125334855511	-0.08195611483890991	-0.07697790711509656	-0.07049379743353654
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.30194777814824125	0.3619108780148137	0.36129741726626047	0.34601946947879375	0.2059756035312674	0.21022627914329348	0.19371955609100838	0.19976859176864914	0.1959029789765088	0.18364483438221504	0.24325276525866285	0.3225253591282078	0.2392844410496706	0.24316571278103705	0.2513669013088052	0.2316140560660685	0.24633266540506948	0.3161240333179222	0.32510522623476046	0.30081622378885786	0.2841846476305249	0.3483688742814985	0.3623055243352591	0.3753118208340909
HALLMARK_COAGULATION	0.3681212836419872	0.40060034947862344	0.39538119136809147	0.3962646856373274	0.28245397909707876	0.2765636321314033	0.2741894222859827	0.30224577199353125	0.2993511330525727	0.28831306709316984	0.3407120018892193	0.3826049460528441	0.3328710956095674	0.32930810663338395	0.3410092606526714	0.3345020462341931	0.3397738182342445	0.3751161275345336	0.37858110296913494	0.36883007444943555	0.36336867886401375	0.3956443774100286	0.3986778267616964	0.4052983666113618
HALLMARK_COMPLEMENT	0.39260001808107814	0.3806219878205835	0.3745545836856719	0.37543853074474504	0.22366687528067694	0.21717124045003383	0.21517188404518925	0.3289835188236357	0.31973799071189074	0.30937011252588353	0.2419416967052053	0.40312895216858247	0.2384522776280228	0.23459983204332505	0.31170535495157325	0.3036694493392605	0.316665054391947	0.38963972647789974	0.401381258148991	0.3836822590006268	0.3922425153392534	0.36993639972665704	0.3739549381786798	0.3959969392437192
HALLMARK_DNA_REPAIR	0.0776093676282349	0.10597309681653048	0.10284836303929372	0.09735756829947836	0.19900127374695642	0.20963950555987748	0.21056161557848735	0.15996439356073947	0.15792048857242164	0.1639956479950537	0.18974649920646752	0.05991475057543365	0.19468356666926015	0.19824793495987467	0.15440277162332658	0.16849153034507366	0.15886633753297177	0.07896988802469927	0.06131873690025871	0.07310750816120667	0.08299410210323815	0.10486670789516464	0.11127925005792867	0.09999399910977262
HALLMARK_E2F_TARGETS	-0.1585467829721317	-0.20841470202767523	-0.2036467701041949	-0.19454915143556975	0.13809803052531708	0.15050537478238185	0.1529990586957074	0.09011301899911608	0.09130176319577463	0.1102881615404633	0.03124576530013407	-0.19886527924246647	0.03597848884685028	0.03333972182012501	-0.012624032175230709	0.0010537934315590551	-0.01426230380739992	-0.17521528131475833	-0.1967825755819374	-0.15719564295246907	-0.1352277057391436	-0.19446192966087886	-0.20168530684947	-0.2284926867089892
